what;added;who;when;bug_id;removed
Resolution;LATER;kai-uwe_maetzel;2002-02-09 14:05:31 EST;8665;---
Status;CLOSED;kai-uwe_maetzel;2002-06-05 11:02:19 EDT;8665;RESOLVED
Resolution;WONTFIX;denis.roy;2009-08-30 02:20:39 EDT;8665;LATER
Assignee;Kai-Uwe_Maetzel;erich_gamma;2002-01-24 08:12:57 EST;7693;Erich_Gamma
Priority;P1;erich_gamma;2002-01-24 08:12:57 EST;7693;P3
Status;ASSIGNED;kai-uwe_maetzel;2002-02-06 06:38:36 EST;7693;NEW
Priority;P1;Darin_Swanson;2002-01-10 13:59:56 EST;7443;P3
Assignee;jared-eclipse;Darin_Swanson;2002-01-11 11:25:33 EST;7443;Darin_Wright
CC;peter_burka;jared_burns;2002-01-11 11:27:48 EST;7443;
Status;CLOSED;darin.eclipse;2001-11-13 10:10:06 EST;5281;RESOLVED
Assignee;jdt-ui-inbox;darin.eclipse;2001-11-13 10:10:06 EST;8665;kai-uwe_maetzel
Status;RESOLVED;kai-uwe_maetzel;2002-02-09 14:06:46 EST;7693;ASSIGNED
Resolution;LATER;kai-uwe_maetzel;2002-02-09 14:06:46 EST;7693;---
Status;CLOSED;kai-uwe_maetzel;2002-06-05 11:00:17 EDT;7693;RESOLVED
Resolution;WONTFIX;webmaster;2009-08-30 02:40:16 EDT;7693;LATER
Status;ASSIGNED;jared_burns;2002-01-11 11:28:17 EST;7443;NEW
Status;RESOLVED;jared_burns;2002-01-11 11:34:11 EST;7443;ASSIGNED
Resolution;LATER;jared_burns;2002-01-11 11:34:11 EST;7443;---
Assignee;jdt-ui-inbox;jared_burns;2002-01-11 11:34:11 EST;7693;kai-uwe_maetzel
Status;CLOSED;jared_burns;2002-06-26 09:12:20 EDT;7443;RESOLVED
Resolution;WONTFIX;denis.roy;2009-08-30 02:20:24 EDT;7443;LATER
Assignee;jdt-debug-inbox;denis.roy;2009-08-30 02:20:24 EDT;7443;jared_burns
Assignee;Jerome_Lanneluc;philippe_mulet;2002-02-04 11:17:16 EST;9024;Philippe_Mulet
Priority;P1;philippe_mulet;2002-02-04 11:17:16 EST;9024;P3
Target Milestone;2.0 M3;philippe_mulet;2002-02-04 11:17:16 EST;9024;---
Status;ASSIGNED;jerome_lanneluc;2002-02-04 11:56:48 EST;9024;NEW
Depends on;;jerome_lanneluc;2002-02-06 12:02:24 EST;9024;
Status;RESOLVED;Olivier_Thomann;2002-02-06 13:36:11 EST;9024;ASSIGNED
Resolution;WONTFIX;Olivier_Thomann;2002-02-06 13:36:11 EST;9024;---
Status;CLOSED;Olivier_Thomann;2002-02-06 13:36:32 EST;9024;RESOLVED
Assignee;Kai-Uwe_Maetzel;erich_gamma;2002-06-04 15:29:25 EDT;19135;Erich_Gamma
Severity;critical;erich_gamma;2002-06-04 15:29:25 EDT;19135;normal
Priority;P1;erich_gamma;2002-06-04 15:29:25 EDT;19135;P3
Target Milestone;2.0 F3;kai-uwe_maetzel;2002-06-05 20:19:50 EDT;19135;---
Status;RESOLVED;kai-uwe_maetzel;2002-06-10 04:34:23 EDT;19135;NEW
Resolution;FIXED;kai-uwe_maetzel;2002-06-10 04:34:23 EDT;19135;---
Status;CLOSED;dirk_baeumer;2002-06-13 08:04:47 EDT;19135;RESOLVED
Assignee;kent_johnson;philippe_mulet;2003-11-19 18:14:08 EST;47049;jdt-core-inbox
Severity;major;tjbishop;2003-11-20 13:03:20 EST;47049;normal
Priority;P1;tjbishop;2003-11-20 13:03:20 EST;47049;P3
Summary;[Builder] Build output folder not getting flushed because files are not marked as derived;philippe_mulet;2003-11-24 05:48:17 EST;47049;Build output folder not getting flushed because files are not marked as derived
Target Milestone;3.0 M6;philippe_mulet;2003-11-24 05:48:17 EST;47049;---
Status;RESOLVED;kent_johnson;2003-11-25 13:28:55 EST;47049;NEW
Resolution;FIXED;kent_johnson;2003-11-25 13:28:55 EST;47049;---
CC;Martin_Aeschlimann;darin.eclipse;2001-10-26 11:30:57 EDT;5290;
Priority;P1;darin.eclipse;2001-10-26 15:42:01 EDT;5290;P3
Severity;critical;darin.eclipse;2001-11-28 13:08:17 EST;5290;normal
Status;VERIFIED;david_audel;2003-12-18 06:32:28 EST;47049;RESOLVED
Target Milestone;2.1.3;frederic_fusier;2004-03-01 13:31:01 EST;47049;3.0 M6
Status;CLOSED;tjbishop;2005-05-24 11:23:18 EDT;47049;VERIFIED
CC;philippe_mulet;daniel_megert;2009-05-25 07:32:14 EDT;277669;
Severity;critical;daniel_megert;2009-05-25 07:32:14 EDT;277669;major
Target Milestone;3.5 RC3;daniel_megert;2009-05-25 07:32:14 EDT;277669;---
Assignee;Darin_Swanson;darin.eclipse;2001-12-04 13:06:07 EST;5290;Darin_Wright
Status;ASSIGNED;darin.eclipse;2001-12-04 13:07:30 EST;5290;NEW
Status;RESOLVED;Darin_Swanson;2001-12-04 18:23:02 EST;5290;ASSIGNED
Resolution;FIXED;Darin_Swanson;2001-12-04 18:23:02 EST;5290;---
CC;Olivier_Thomann;daniel_megert;2009-05-25 07:33:22 EDT;277669;
Assignee;Olivier_Thomann;Olivier_Thomann;2009-05-25 07:54:38 EDT;277669;jdt-core-inbox
CC;jerome_lanneluc;jerome_lanneluc;2009-05-25 09:28:28 EDT;277669;
Priority;P1;jerome_lanneluc;2009-05-25 09:28:28 EDT;277669;P3
Status;CLOSED;Darin_Swanson;2001-12-04 18:23:22 EST;5290;RESOLVED
Priority;P1;jsholl;2003-04-14 14:50:42 EDT;36465;P3
Assignee;philippe_mulet;philippe_mulet;2003-04-15 03:06:58 EDT;36465;jdt-core-inbox
Status;RESOLVED;philippe_mulet;2003-04-15 04:26:04 EDT;36465;NEW
Status;RESOLVED;Olivier_Thomann;2009-05-26 12:36:12 EDT;277669;NEW
Resolution;FIXED;Olivier_Thomann;2009-05-26 12:36:12 EDT;277669;---
Status;VERIFIED;Olivier_Thomann;2009-05-27 15:27:35 EDT;277669;RESOLVED
Status;CLOSED;daniel_megert;2009-05-28 02:08:42 EDT;277669;VERIFIED
Status;ASSIGNED;markus_keller;2013-01-04 10:37:54 EST;397455;NEW
CC;daniel_megert, markus_keller;markus_keller;2013-01-04 10:37:54 EST;397455;
Assignee;manju_mathew;markus_keller;2013-01-04 10:37:54 EST;397455;jdt-ui-inbox
CC;yasuday;fuse;2002-05-20 11:42:54 EDT;16441;
Assignee;Erich_Gamma;nick_edgar;2002-05-20 12:14:24 EDT;16441;Nick_Edgar
Product;JDT;nick_edgar;2002-05-20 12:14:24 EDT;16441;Platform
Resolution;FIXED;nick_edgar;2002-05-20 12:14:24 EDT;36465;---
Target Milestone;2.2;nick_edgar;2002-05-20 12:14:24 EDT;36465;---
Target Milestone;2.1.1;jerome_lanneluc;2003-04-15 09:49:04 EDT;36465;2.2
Status;VERIFIED;david_audel;2003-06-02 06:48:15 EDT;36465;RESOLVED
Target Milestone;4.3 M5;david_audel;2003-06-02 06:48:15 EDT;397455;---
Summary;[hovering] Package Javadoc hover throws NPE if package-info.java contains references;david_audel;2003-06-02 06:48:15 EDT;397455;[hovering] Package Javadoc hover throws NPE if package-info.java contains links
Priority;P1;daniel_megert;2013-01-05 04:51:43 EST;397455;P3
Assignee;Adam_Kiezun;erich_gamma;2002-05-21 01:47:51 EDT;16441;Erich_Gamma
Priority;P1;erich_gamma;2002-05-21 01:47:51 EDT;16441;P3
Status;ASSIGNED;akiezun;2002-05-21 07:12:15 EDT;16441;NEW
CC;rabone, camle;rabone;2002-05-21 07:12:15 EDT;16441;
Status;CLOSED;cbridgha;2005-03-01 17:10:06 EST;36465;VERIFIED
CC;daniel_megert;daniel_megert;2011-08-11 06:41:30 EDT;36465;
Blocks;;daniel_megert;2013-01-05 04:52:01 EST;397455;
Target Milestone;2.0 F2;akiezun;2002-05-28 05:22:22 EDT;16441;---
Status;RESOLVED;akiezun;2002-05-28 09:22:02 EDT;16441;ASSIGNED
Resolution;FIXED;akiezun;2002-05-28 09:22:02 EDT;16441;---
Assignee;Kai-Uwe_Maetzel;erich_gamma;2002-06-02 17:26:23 EDT;16441;Adam_Kiezun
Status;NEW;erich_gamma;2002-06-02 17:26:23 EDT;16441;RESOLVED
Assignee;till_bay;kai-uwe_maetzel;2002-06-05 14:31:27 EDT;16441;Kai-Uwe_Maetzel
Status;RESOLVED;till_bay;2002-06-06 09:54:15 EDT;16441;NEW
Status;VERIFIED;till_bay;2002-06-06 09:54:22 EDT;16441;RESOLVED
Status;CLOSED;fuse;2002-06-09 23:49:29 EDT;16441;VERIFIED
Priority;P2;sdavids;2002-11-12 00:29:51 EST;26017;P3
Assignee;Martin_Aeschlimann;erich_gamma;2002-11-13 06:19:18 EST;26017;jdt-ui-inbox
Status;RESOLVED;aeschli;2003-01-29 13:00:45 EST;26017;NEW
Assignee;Adam_Kiezun;erich_gamma;2002-02-03 15:22:59 EST;9001;Erich_Gamma
Priority;P2;erich_gamma;2002-02-03 15:22:59 EST;9001;P3
Status;ASSIGNED;akiezun;2002-02-04 04:29:29 EST;9001;NEW
Assignee;jdt-ui-inbox;Olivier_Thomann;2003-11-25 23:01:26 EST;47479;jdt-core-inbox
Component;UI;Olivier_Thomann;2003-11-25 23:01:26 EST;47479;Core
Assignee;martin_aeschlimann;dirk_baeumer;2003-11-26 04:07:36 EST;47479;jdt-ui-inbox
Resolution;FIXED;dirk_baeumer;2003-11-26 04:07:36 EST;26017;---
Target Milestone;2.1 M5;dirk_baeumer;2003-11-26 04:07:36 EST;26017;---
Status;CLOSED;sdavids;2003-04-10 09:57:14 EDT;26017;RESOLVED
CC;nicolas.rouquette;nicolas.f.rouquette;2009-01-06 16:30:13 EST;26017;
Status;RESOLVED;akiezun;2002-02-04 05:41:18 EST;9001;ASSIGNED
Resolution;FIXED;akiezun;2002-02-04 05:41:18 EST;9001;---
Status;CLOSED;sdavids;2002-02-07 16:42:29 EST;9001;RESOLVED
Priority;P2;sdavids;2002-02-07 16:42:29 EST;47479;P3
Summary;Organize imports broken [code manipulation];sdavids;2002-02-07 16:42:29 EST;47479;Organize imports broken
Target Milestone;3.0 M6;sdavids;2002-02-07 16:42:29 EST;47479;---
Status;RESOLVED;aeschli;2003-11-28 06:12:44 EST;47479;NEW
Resolution;WORKSFORME;aeschli;2003-11-28 06:12:44 EST;47479;---
Status;VERIFIED;avijayr;2004-06-04 12:47:54 EDT;47479;RESOLVED
Status;CLOSED;avijayr;2008-01-09 19:41:39 EST;47479;VERIFIED
Assignee;jdt-ui-inbox;philippe_mulet;2003-02-11 06:18:51 EST;31521;jdt-core-inbox
Component;UI;philippe_mulet;2003-02-11 06:18:51 EST;31521;Core
Assignee;adam_kiezun;dirk_baeumer;2003-02-11 06:36:08 EST;31521;jdt-ui-inbox
Assignee;Kai-Uwe_Maetzel;erich_gamma;2002-05-25 05:52:22 EDT;16508;Erich_Gamma
Priority;P2;kai-uwe_maetzel;2002-05-27 04:34:09 EDT;16508;P3
Target Milestone;2.0 F2;kai-uwe_maetzel;2002-05-27 04:34:09 EDT;16508;---
Priority;P2;kai-uwe_maetzel;2002-05-27 04:34:09 EDT;31521;P3
Target Milestone;2.1 RC1;kai-uwe_maetzel;2002-05-27 04:34:09 EDT;31521;---
Status;RESOLVED;akiezun;2003-02-11 06:42:03 EST;31521;NEW
Resolution;DUPLICATE;akiezun;2003-02-11 06:42:03 EST;31521;---
Status;RESOLVED;kai-uwe_maetzel;2002-05-31 06:08:16 EDT;16508;NEW
Resolution;FIXED;kai-uwe_maetzel;2002-05-31 06:08:16 EDT;16508;---
Assignee;Andre_Weinand;erich_gamma;2002-06-02 17:28:38 EDT;16508;Kai-Uwe_Maetzel
Status;NEW;erich_gamma;2002-06-02 17:28:38 EDT;16508;RESOLVED
Status;CLOSED;gkarasiuk;2006-07-10 06:59:44 EDT;31521;RESOLVED
Resolution;---;andre_weinand;2002-06-04 05:59:56 EDT;16508;FIXED
Status;RESOLVED;andre_weinand;2002-06-04 06:00:18 EDT;16508;NEW
Resolution;FIXED;andre_weinand;2002-06-04 06:00:18 EDT;16508;---
Status;CLOSED;dirk_baeumer;2002-06-13 10:52:42 EDT;16508;RESOLVED
Assignee;Claude_Knaus;erich_gamma;2001-12-10 10:02:44 EST;6533;Erich_Gamma
Priority;P2;erich_gamma;2001-12-10 10:02:44 EST;6533;P3
Status;ASSIGNED;Claude_Knaus;2001-12-10 10:38:14 EST;6533;NEW
Status;RESOLVED;kai-uwe_maetzel;2002-10-07 11:24:58 EDT;24386;NEW
Resolution;WORKSFORME;kai-uwe_maetzel;2002-10-07 11:24:58 EDT;24386;---
Status;REOPENED;avijayr;2002-10-09 12:39:12 EDT;24386;RESOLVED
Status;RESOLVED;Claude_Knaus;2002-02-06 06:14:12 EST;6533;ASSIGNED
Resolution;FIXED;Claude_Knaus;2002-02-06 06:14:12 EST;6533;---
Status;CLOSED;sdavids;2002-02-08 09:44:32 EST;6533;RESOLVED
Resolution;---;sdavids;2002-02-08 09:44:32 EST;24386;WORKSFORME
Assignee;jdt-ui-inbox;kai-uwe_maetzel;2002-10-16 03:45:59 EDT;24386;jdt-text-inbox
Status;NEW;kai-uwe_maetzel;2002-10-16 03:45:59 EDT;24386;REOPENED
Component;UI;kai-uwe_maetzel;2002-10-16 03:45:59 EDT;24386;Text
Status;RESOLVED;sdavids;2002-02-15 17:50:05 EST;9944;NEW
Resolution;DUPLICATE;sdavids;2002-02-15 17:50:05 EST;9944;---
Status;CLOSED;sdavids;2002-02-15 17:51:06 EST;9944;RESOLVED
Assignee;Platform-UI-Inbox;aeschli;2002-10-16 09:35:00 EDT;24386;jdt-ui-inbox
Product;Platform;aeschli;2002-10-16 09:35:00 EDT;24386;JDT
Assignee;Tod_Creasey;sonia_dimitrov;2002-10-16 09:49:44 EDT;24386;Platform-UI-Inbox
Summary;[Dialogs] Navigate > Open Type does not work for reqular expressions;sonia_dimitrov;2002-10-16 09:49:44 EDT;24386;Navigate > Open Type does not work for reqular expressions
Status;REOPENED;sdavids;2002-03-05 06:45:48 EST;9944;CLOSED
Resolution;---;sdavids;2002-03-05 06:45:48 EST;9944;DUPLICATE
Status;RESOLVED;erich_gamma;2002-03-11 10:27:33 EST;9944;REOPENED
Resolution;WORKSFORME;erich_gamma;2002-03-11 10:27:33 EST;9944;---
Status;ASSIGNED;Tod_Creasey;2002-10-16 09:55:17 EDT;24386;NEW
CC;Martin_Aeschlimann;Tod_Creasey;2002-10-16 10:38:17 EDT;24386;
Assignee;jdt-ui-inbox;Tod_Creasey;2002-10-16 10:38:17 EDT;24386;Tod_Creasey
Status;NEW;Tod_Creasey;2002-10-16 10:38:17 EDT;24386;ASSIGNED
Status;REOPENED;sdavids;2002-03-11 12:39:55 EST;9944;RESOLVED
Resolution;---;sdavids;2002-03-11 12:39:55 EST;9944;WORKSFORME
Assignee;Kai-Uwe_Maetzel;erich_gamma;2002-03-21 03:10:47 EST;9944;Erich_Gamma
Status;NEW;erich_gamma;2002-03-21 03:10:47 EST;9944;REOPENED
Product;JDT;erich_gamma;2002-03-21 03:10:47 EST;24386;Platform
Assignee;Claude_Knaus;aeschli;2002-10-16 11:40:09 EDT;24386;jdt-ui-inbox
CC;chambery;Claude_Knaus;2002-10-24 03:34:01 EDT;24386;
Status;ASSIGNED;Claude_Knaus;2002-10-24 03:34:31 EDT;24386;NEW
Priority;P2;Claude_Knaus;2002-10-24 03:34:31 EDT;9944;P3
Assignee;Claude_Knaus;kai-uwe_maetzel;2002-04-08 05:19:33 EDT;9944;Kai-Uwe_Maetzel
Status;RESOLVED;Claude_Knaus;2002-04-08 06:09:41 EDT;9944;NEW
Resolution;WORKSFORME;Claude_Knaus;2002-04-08 06:09:41 EDT;9944;---
Priority;P2;Claude_Knaus;2002-04-08 06:09:41 EDT;24386;P3
Status;RESOLVED;Claude_Knaus;2002-11-15 11:23:55 EST;24386;ASSIGNED
Resolution;WONTFIX;Claude_Knaus;2002-11-15 11:23:55 EST;24386;---
Status;VERIFIED;avijayr;2002-11-15 11:24:45 EST;24386;RESOLVED
Status;CLOSED;sdavids;2002-05-23 11:12:53 EDT;9944;RESOLVED
Status;CLOSED;avijayr;2008-01-09 18:48:23 EST;24386;VERIFIED
Severity;critical;nick_edgar;2002-12-09 16:23:58 EST;27976;normal
CC;david_williams;david_williams;2002-12-10 16:13:21 EST;27976;
Assignee;Daniel_Megert;kai-uwe_maetzel;2003-01-14 04:32:26 EST;27976;platform-text-inbox
Priority;P2;kai-uwe_maetzel;2003-01-14 04:32:26 EST;27976;P3
Target Milestone;2.1 M5;daniel_megert;2003-01-15 04:01:17 EST;27976;---
Status;ASSIGNED;daniel_megert;2003-01-15 11:38:26 EST;27976;NEW
Assignee;Daniel_Megert;erich_gamma;2002-02-03 15:59:35 EST;9007;Erich_Gamma
Priority;P2;erich_gamma;2002-02-03 15:59:35 EST;9007;P3
Status;RESOLVED;daniel_megert;2002-02-04 09:13:36 EST;9007;NEW
Assignee;Claude_Knaus;daniel_megert;2002-11-08 03:30:39 EST;25871;jdt-ui-inbox
Component;Text;daniel_megert;2002-11-08 03:30:39 EST;25871;UI
Priority;P2;daniel_megert;2002-11-08 03:30:39 EST;25871;P3
CC;daniel_megert;daniel_megert;2003-01-20 11:52:03 EST;27976;
Assignee;jdt-core-inbox;daniel_megert;2003-01-20 11:52:03 EST;27976;daniel_megert
Status;NEW;daniel_megert;2003-01-20 11:52:03 EST;27976;ASSIGNED
Component;Core;daniel_megert;2003-01-20 11:52:03 EST;27976;Text
Resolution;FIXED;daniel_megert;2003-01-20 11:52:03 EST;9007;---
Target Milestone;2.0 M3;daniel_megert;2003-01-20 11:52:03 EST;9007;---
Status;CLOSED;sdavids;2002-02-07 16:38:46 EST;9007;RESOLVED
CC;Erich_Gamma;Claude_Knaus;2002-11-08 11:35:31 EST;25871;
Status;ASSIGNED;Claude_Knaus;2002-11-12 07:15:43 EST;25871;NEW
Status;RESOLVED;sdavids;2002-11-30 05:20:36 EST;25871;ASSIGNED
Resolution;DUPLICATE;sdavids;2002-11-30 05:20:36 EST;25871;---
