title,id,activity,status
Offer error context manager for code.interact,27565,2016-09-28.15:05:12,2
Unpacking numpy array give list,28302,2016-09-28.14:25:41,2
Add __le__ and __ge__ to collections.Counter,28296,2016-09-28.13:43:55,2
DirEntry.is_dir() evaluates True for a file on Windows,28299,2016-09-28.12:54:02,2
sched module example has wrong output,28297,2016-09-28.10:51:13,2
socketmodule.c on HPUX ia64 without	_XOPEN_SOURCE_EXTENDED compiles incorrectly,5895,2016-09-28.09:43:34,2
calendar: OverflowErrors for year == 1 and firstweekday > 0,26650,2016-09-28.03:04:31,2
calendar.prcal(9999) output has a problem,28253,2016-09-28.03:02:52,2
unittest: object has no attribute '_removed_tests',23155,2016-09-28.00:56:56,2
"Add C API for gc.enable, gc.disable, and gc.isenabled",28254,2016-09-28.00:51:15,2
distutils.archive_util should handle absence of zlib module,11501,2016-09-28.00:30:25,2
typing forward references and module attributes,26477,2016-09-27.22:26:39,2
_TypeAlias: Discrepancy between docstring and behavior,25830,2016-09-27.22:26:00,2
typing.Union unifies types too broadly,26075,2016-09-27.22:25:19,2
Fix callbacks race in asyncio.SelectorLoop.sock_connect,28176,2016-09-27.21:23:11,2
-Wstrict-overflow findings,20947,2016-09-27.19:05:44,2
Misleading error message when ImportError called with invalid keyword args,21578,2016-09-27.18:03:54,2
null poiter dereference in set_conversion_mode due uncheck _ctypes_conversion_errors,27963,2016-09-27.12:25:35,2
35.5 - 29.58 = 5.920000000000002 (it's false !),28285,2016-09-27.10:18:42,2
epoll docs are not clear with regards to CLOEXEC.,20100,2016-09-27.08:50:12,2
Replace two Py_XDECREFs with Py_DECREFs in do_raise,27703,2016-09-27.08:39:00,2
Memory corruption due to size expansion (overflow) in _json.encode_basestring_ascii on 32 bit Python 2.7.12,28284,2016-09-27.06:55:49,2
allow weights in random.choice,18844,2016-09-27.05:01:50,2
Inconsistency in cgi.FieldStorage() causes unicode/byte TypeError.,27308,2016-09-27.03:38:23,2
multiprocess.Process join method - timeout indistinguishable from success,10673,2016-09-26.20:21:45,2
Incorrect comment in PyModule_ExcDef,27914,2016-09-26.20:16:40,2
invalid exception handling in Lib/ctypes/macholib/dyld.py,18893,2016-09-26.20:06:40,2
Decrease empty_keys_struct's dk_refcnt,28144,2016-09-26.20:03:26,2
Clean up some checks in dict implementation,28194,2016-09-26.18:31:36,2
Wrong return value type in the doc of PyMapping_Keys/Values/Items,28211,2016-09-26.17:56:23,2
Incorrect documentation for PyMapping_Items and like,25909,2016-09-26.17:54:51,2
urllib2: urlopen() gets exception(kwargs bug?),23245,2016-09-26.14:54:06,2
_winreg PyHKEY Type Confusion,24201,2016-09-26.14:09:31,2
mock._Any and mock._Call implement __eq__ but not __hash__,28260,2016-09-25.23:04:28,2
asyncio does not call exception handler if task stored,28274,2016-09-25.19:21:46,2
Py_XDECREF() expands its argument multiple times,17206,2016-09-25.15:52:53,2
test_tix cannot import _default_root after test_idle,27611,2016-09-25.14:45:24,2
Make subprocess.Popen support file-like objects (win),1175984,2016-09-25.13:19:04,2
String literals are not interned if in a tuple,26148,2016-09-25.10:44:49,2
bz2.open does not use __fspath__ (PEP 519),28268,2016-09-25.10:40:20,2
Upgrade Python 3.4 to OpenSSL 1.0.2h on Windows,27995,2016-09-25.10:33:05,2
complex() gives wrong error when the second argument has an invalid type,28203,2016-09-25.09:49:42,2
setup.py uses build Python's configuration when cross-compiling,28266,2016-09-25.09:23:49,2
builtin_function_or_method's __getattribute__ not applicable to self,28265,2016-09-25.04:58:02,2
Add ChaCha20 Poly1305 to SSL ciphers,27766,2016-09-24.21:26:17,2
integer overflow in computing byte's object representation,22519,2016-09-24.19:06:12,2
Tuples used before introduction to tuple in tutorial,28252,2016-09-24.17:45:49,2
typing.NamedTuple instances are not picklable Two,28250,2016-09-24.17:07:45,2
Python 2.7's `-3` flag warns about __eq__ being implemented without __hash__ even if __hash__ is never accessed.,28263,2016-09-24.12:58:40,2
Unused indata in test_ssl.ThreadedTests.test_asyncore_server,28221,2016-09-24.05:29:58,2
Trailing whitespace in C source code,28184,2016-09-23.22:16:27,2
Remove bundled libffi,27979,2016-09-23.20:57:26,2
Rework CALL_FUNCTION* opcodes,27213,2016-09-22.21:13:20,2
test.test_getargs2.TupleSubclass test failure,28086,2016-09-22.16:45:30,2
Embeddable Python does not use PYTHONPATH.,28245,2016-09-22.13:44:21,2
Superfluous messages when running make,27950,2016-09-22.13:16:00,2
traceback (and threading) drops exception message,27348,2016-09-22.13:13:08,2
Add optional suffix to str.join,28205,2016-09-22.11:17:25,2
Unable to read simple text file,28246,2016-09-22.10:33:53,2
Implement functools.lru_cache() using ordered dict,28239,2016-09-22.08:09:55,2
Incorrect Example in itertools.product description,28244,2016-09-22.06:02:26,2
Derby #4: Convert 53 sites to Argument Clinic across 5 files,20173,2016-09-22.05:07:15,2
os.environ.get documentation missing,28242,2016-09-21.18:18:28,2
Nested fuctions Unexpected behaviour when stored in a list and called after.,28241,2016-09-21.16:45:19,2
Confusing output for TestCase.subTest(0),25651,2016-09-21.16:36:57,2
platform.win32_ver() broken in 2.7.11,26513,2016-09-21.16:10:44,2
platform.win32_ver() leaks in 2.7.12,27932,2016-09-21.16:08:56,2
Coverity Scan defects in new dict code,28042,2016-09-21.13:14:49,2
PyUnicode_FromFormatV can leak PyUnicodeWriter,28233,2016-09-21.12:55:58,2
Provide a way to enable getrandom on Linux even when build system runs an older kernel,27990,2016-09-21.12:55:09,2
argparse's add_mutually_exclusive_group() should accept title and description,28220,2016-09-20.23:00:15,2
Random Malloc error raised,25470,2016-09-20.21:59:56,2
Raise BlockingIOError in os.urandom if kernel is not ready,27282,2016-09-20.21:57:19,2
Use arc4random under OpenBSD for os.urandom() if /dev/urandom is not present,22542,2016-09-20.21:50:49,2
getrandom() syscall returning EPERM make the system unusable.,27955,2016-09-20.20:56:29,2
micro optimization for import_all_from,28216,2016-09-20.18:07:27,2
windows console doesn't print or input Unicode,1602,2016-09-20.17:45:06,2
heap-buffer-overflow on address 0x6250000078ff,27482,2016-09-20.05:05:24,2
defaultdict.fromkeys should accept a callable factory,23372,2016-09-20.03:39:26,2
subprocess.Popen hangs when child writes to stderr,1336,2016-09-19.13:07:24,2
test_huntrleaks_fd_leak fails on Windows,28195,2016-09-19.10:01:05,2
Windows: path_converter() leaks memory for Unicode filenames,28200,2016-09-19.09:59:57,2
Spam,28204,2016-09-19.09:59:08,2
heap-buffer-overflow in tok_nextc (Parser/tokenizer.c:954),28198,2016-09-19.09:09:05,2
"f-strings: allow backslashes only in the string parts, not in the expression parts",27948,2016-09-19.08:56:02,2
Python heap corruption issue,24022,2016-09-19.06:44:28,2
dictitems_contains swallows compare errors,28189,2016-09-19.04:51:41,2
Consider using lru_cache for the re.py caches,28193,2016-09-19.03:18:38,2
"remove support for platforms without ""long long""",27961,2016-09-19.01:03:17,2
testPythonOrg() of test_robotparser fails on validating python.org HTTPS certificate,28151,2016-09-18.20:51:28,2
2.7 32-bit builds fail on macOS 10.12 Sierra due to dependency on deleted header file QuickTime/QuickTime.h,27806,2016-09-18.19:24:58,2
robotparser doesn't return crawl delay for default entry,25400,2016-09-18.17:18:17,2
python fails to locate system libffi,26661,2016-09-18.12:41:39,2
test_venv.test_with_pip() fails when ctypes is missing,26610,2016-09-18.11:52:47,2
os.stat fails when access is denied,28075,2016-09-18.10:57:15,2
itertools.product with infinite iterator cause MemoryError.,10109,2016-09-18.07:10:49,2
ssl unwrap fails with Error 0,10808,2016-09-18.04:41:17,2
launcher.msi has different product codes between 32 and 64-bit,28110,2016-09-17.23:35:46,2
Don't import readline in isolated mode,28192,2016-09-17.21:37:07,2
WindowsConsoleIO fileno() passes wrong flags to _open_osfhandle,28163,2016-09-17.20:53:13,2
Opening CON for write access fails,28161,2016-09-17.20:52:19,2
curses.ungetch raises OverflowError when given -1,16293,2016-09-17.20:39:33,2
UnboundLocalError in socket._sendfile_use_sendfile,26384,2016-09-17.20:23:45,2
Windows sys.path file should be renamed,28137,2016-09-17.19:58:57,2
Windows _sys.path file should allow import site,28138,2016-09-17.19:58:17,2
distutils doesn't parallelize extension module compilation,5309,2016-09-17.19:05:32,2
redundant variables in long_add and long_sub,27111,2016-09-17.19:03:57,2
redundant assignments to ob_size of new ints that _PyLong_New returned,27441,2016-09-17.18:50:08,2
allow to cache_clear(some_key) in lru_cache,28178,2016-09-17.18:24:17,2
redundant checks and a weird use of goto statements in long_rshift,27222,2016-09-17.16:52:03,2
Misleading Indentation in C source code,28139,2016-09-17.13:35:54,2
pathlib.Path(...).is_dir() crashes on some directories (Windows),21516,2016-09-17.12:53:37,2
Check return value of _PyBytes_Resize,28187,2016-09-17.12:36:28,2
Fix whitespace in C source code,28145,2016-09-17.07:14:18,2
Deprecate the use of flags not at the start of regular expression,22493,2016-09-16.22:33:54,2
Make tm_gmtoff and tm_zone available on all platforms,25283,2016-09-16.20:07:32,2
Win32: Security problem with default installation directory,1284316,2016-09-16.17:20:56,2
codecs.escape_encode systemerror on empty byte string,25270,2016-09-16.14:33:06,2
Change URL in antigravity library file,28181,2016-09-16.13:31:13,2
urllib.parse.urljoin does not handle WebSocket URLs,25895,2016-09-16.11:46:51,2
regression: BaseEventLoop.create_server does not accept port=None,27415,2016-09-16.10:43:58,2
Compilation failure on Debian 4,28177,2016-09-16.05:44:51,2
Build regression from automation changes on windows,10765,2016-09-16.03:25:28,2
Unable to build Python out-of-tree when source tree is	readonly.,15819,2016-09-16.02:48:55,2
Simple indentation,24366,2016-09-16.01:12:24,2
Segafault in _PyObject_Alloc,26797,2016-09-16.00:03:55,2
tests shouldn't fail with unset timezone,10213,2016-09-15.23:21:52,2
"Wrong time zone offset, when using time.strftime() with a given struct_time",19502,2016-09-15.23:03:15,2
Time module: effect of time.timezone change,15941,2016-09-15.22:58:42,2
Python -V and --version output to stderr instead of stdout,28160,2016-09-15.21:06:08,2
Asyncio: Pipes and socket IO is very slow,26909,2016-09-15.20:59:19,2
Make _PyCoro_GetAwaitableIter a public API,24510,2016-09-15.20:47:55,2
Add methods for async protocols,24511,2016-09-15.20:47:15,2
android: setting SO_REUSEPORT fails,26858,2016-09-15.20:46:29,2
Spam,28175,2016-09-15.20:19:35,2
asyncio is not inspecting keyword arguments of functools.partial,26654,2016-09-15.20:02:53,2
asyncio: Handle when SO_REUSEPORT isn't properly supported,28174,2016-09-15.19:46:48,2
getopt.getopt error processing long_options,28171,2016-09-15.19:44:38,2
Misspelled Assert,28173,2016-09-15.19:17:50,2
"parse_envlist(): os.execve(), os.spawnve(), etc. crash in Python 3.6.0 when env contains byte strings",28114,2016-09-15.19:17:47,2
Deprecation warnings for the future async and await keywords in Python 3.6,26182,2016-09-15.18:09:47,2
[Patch] posixmodule: Make the presence of os.getpid() optional,28156,2016-09-15.17:47:11,2
SystemError: <built-in method peer_certificate of _ssl._SSLSocket object at 0x7f98ac154858> returned NULL without setting an error,28170,2016-09-15.16:02:41,2
broken ctypes calling convention on MSVC / 64-bit Windows (large structs),20160,2016-09-15.15:52:59,2
MSVC ffi_prep_args doesn't handle 64-bit arguments properly,22733,2016-09-15.14:04:20,2
"SIGBUS in test_ssl.test_dealloc_warn() on ""AMD64 FreeBSD 10.0 3.x"" buildbot",26815,2016-09-15.08:51:00,2
ssl should raise an exception when trying to load an unusable key (ECC key not using a named curve),26254,2016-09-15.08:20:23,2
ssl.get_server_certificate like addition for cert chain,18546,2016-09-15.08:10:02,2
Error CERTIFICATE_VERIFY_FAILED in macOS,28150,2016-09-15.05:34:21,2
Add tests for Tix,21337,2016-09-15.03:37:42,2
wrong time.timezone,22799,2016-09-14.19:17:21,2
import.c doesn't handle EOFError from PyMarshal_Read*,16384,2016-09-14.18:41:56,2
Small typo in Json docs,28155,2016-09-14.16:16:45,2
Core dump after importing lxml in Python3.6b,28154,2016-09-14.15:33:30,2
Py_MEMCPY: Use memcpy on Windows?,28126,2016-09-14.15:19:37,2
[Patch] selectmodule: Make kqueue()'s event filters optional,28153,2016-09-14.15:17:19,2
assertRaises should return the exception in its simple form,28135,2016-09-14.14:44:34,2
Buffer overrun in binascii,27599,2016-09-14.13:40:09,2
Add _PyDict_CheckConsistency(),28127,2016-09-14.13:07:02,2
windows installer not adding PYTHONHOME,28142,2016-09-14.09:54:06,2
Refactor Tools/scripts/google.py,26830,2016-09-14.07:59:16,2
Explicit null dereferenced in formatter_unicode.c,28119,2016-09-14.07:48:18,2
[Patch] timemodule: Complete Autoconf bits for clock_*() functions: make clock_getres() and clock_settime() optional,28081,2016-09-14.05:55:28,2
heap overflow in zipimporter module,26171,2016-09-14.05:41:18,2
assert statements missed when loaded by zipimporter,28131,2016-09-14.05:14:50,2
type-limits warning in PyMem_New() _ssl_locks_count,28118,2016-09-14.02:05:28,2
RegEx documentation error,28136,2016-09-13.23:57:43,2
Adjust class-build method of Enum so final ordered dict more closely resembles definition order,28048,2016-09-13.20:38:35,2
os.read not handling O_DIRECT flag,5396,2016-09-13.19:20:19,2
spam,28133,2016-09-13.18:59:58,2
email.header.decode_header can not decode string with quotation,28122,2016-09-13.18:42:23,2
Update sqlite version for Windows build,27883,2016-09-13.18:18:04,2
Error in what's new - PEP 515,28116,2016-09-13.18:16:02,2
time.mktime doesn't update time.tzname,22798,2016-09-13.17:19:55,2
What's new item for PEP 526 -- Variable annotations,28109,2016-09-13.16:28:02,2
Bug in _PyDict_Pop() on a splitted table,28120,2016-09-13.15:20:08,2
Deprecate invalid escape sequences in str/bytes,27364,2016-09-13.15:14:02,2
compact dict : SystemError: returned NULL without setting an error.,28040,2016-09-13.14:00:18,2
ld_so_aix not found,16189,2016-09-13.13:36:48,2
benchmarks (perf.py): number of decimal places in csv output,26383,2016-09-13.09:38:47,2
Fix telco benchmark,26284,2016-09-13.09:05:39,2
Add fractions benchmark,22458,2016-09-13.09:04:06,2
Fix find_empty_slot in dictobject,28077,2016-09-13.08:07:07,2
zipfile.py script should print usage to stderr,28102,2016-09-13.06:57:46,2
Set documentation is incorrect,28104,2016-09-13.06:45:44,2
Add parsing support for more types in xmlrpc,26885,2016-09-13.06:30:07,2
Exclude the private API from the stable API,26900,2016-09-13.06:29:27,2
Add callback to functools.lru_cache,28112,2016-09-13.05:50:53,2
Turn on extra warnings on GCC,23545,2016-09-13.05:32:13,2
Reference leak in fp_setreadl() of Parser/tokenizer.c,27981,2016-09-13.05:10:19,2
Finish converting fixcid.py from regex to re,27952,2016-09-13.04:57:53,2
Style fix in zipfile.rst,28103,2016-09-13.01:50:31,2
fileinput causes RecursionErrors when dealing with large numbers of empty files,28024,2016-09-13.00:12:44,2
[Benchmarks] Add --testonly argument to perf.py to run benchmarks only for correctness checking,28106,2016-09-12.19:56:12,2
warning: ‘nkwargs’ may be used uninitialized,28105,2016-09-12.19:50:08,2
Try to reuse stdint.h types like int32_t,17884,2016-09-12.17:07:12,2
Add utf-8 alias to aliases.py dictionary,28101,2016-09-12.14:25:15,2
Add METH_FASTCALL: new calling convention for C functions,27810,2016-09-12.13:56:36,2
Compact and ordered dict,27350,2016-09-12.12:49:21,2
More details about `-O` flag,27604,2016-09-12.10:31:50,2
Compact dict bug on Windows (Visual Studio): if (mp->ma_keys->dk_usable * 3 < other->ma_used * 2),28061,2016-09-12.10:25:35,2
ssl: get list of enabled ciphers,27866,2016-09-12.10:00:39,2
ResourceWarning in test_ssl,28093,2016-09-12.09:21:46,2
sys.getsizeof(0) is incorrect,28098,2016-09-12.08:25:20,2
set.difference() is not interruptible,28096,2016-09-12.07:39:42,2
namedtuple should support fully qualified name for more portable pickling,17941,2016-09-12.07:19:09,2
Exhausted deque iterator should free a reference to a deque,26496,2016-09-12.06:56:00,2
More compact pickle of iterators etc,25776,2016-09-12.06:30:24,2
xml.etree.ElementTree does not preserve whitespaces in attributes,17582,2016-09-12.06:24:55,2
Stop set.difference when set is empty,28071,2016-09-12.05:43:41,2
minor inaccuracy in range_contains_long,28045,2016-09-12.04:48:02,2
Document behaviour of Process.join() in multiprocessing,28094,2016-09-12.04:29:56,2
Use sqlite3_get_autocommit() instead of setting Connection->inTransaction manually,28037,2016-09-12.04:17:06,2
dictviews methods not present on shelve objects,26557,2016-09-12.03:38:47,2
[Patch] Fix the ability to cross compile Python when doing a rebuild of importlib.h,28066,2016-09-12.03:35:03,2
display full e-mail name in hg.python.org annotate pages,16193,2016-09-12.03:13:54,2
backport of the _sysconfigdata.py module (issue 13150) breaks the build on darwin,17512,2016-09-12.02:50:49,2
Shelve references globals in its __del__ method,11640,2016-09-12.02:43:11,2
Silence resource warnings in test_socket,28078,2016-09-12.02:36:52,2
Update Windows build to xz-5.2.2,28065,2016-09-12.02:18:59,2
code.InteractiveConsole ignores sys.excepthook,12643,2016-09-12.01:49:27,2
asyncio: set TCP_NODELAY flag by default,27456,2016-09-12.01:44:38,2
"Add link to id() built-in in comparison operator documentation for ""is""",26511,2016-09-12.00:25:22,2
Mercurial robots.txt should let robots crawl landing pages.,13924,2016-09-12.00:17:26,2
Unittest discover fails with namespace package if the path contains the string same as the module name,24168,2016-09-11.23:43:13,2
Fatal Python error: Py_EndInterpreter: not the last thread,28084,2016-09-11.22:53:25,2
Update typing and test typing from python/typing repo,28079,2016-09-11.22:40:49,2
email.generator.BytesGenerator corrupts data by changing line endings,19003,2016-09-11.21:27:22,2
Choose platform triplets for android builds,27917,2016-09-11.19:41:29,2
"PEP 530, asynchronous comprehensions implementation",28008,2016-09-11.17:43:06,2
Variable annotations should be mangled for private names,28076,2016-09-11.16:46:00,2
PEP 515: Tokenizer: allow underscores for grouping in numeric literals,26331,2016-09-11.16:20:07,2
os.O_SHLOCK and os.O_EXLOCK are not available on Linux,23105,2016-09-11.14:17:07,2
Remove unused pysqlite_flush_statement_cache function,28036,2016-09-11.12:37:15,2
logging.config does not allow disable_existing_loggers=True,26533,2016-09-11.12:16:05,2
sqlite3 module breaks transactions and potentially corrupts data,10740,2016-09-11.11:56:25,2
Fix venv activate.fish to maintain $status,25671,2016-09-11.11:53:43,2
Rewrite test_robotparser,25497,2016-09-11.11:53:10,2
In the argparse howto there is a misleading sentence about store_true,27991,2016-09-11.10:02:56,2
SRE: (?flag:...) is not supported,433028,2016-09-11.08:06:42,2
3.6 regression: re.compile not handling flags with X correctly,28070,2016-09-11.07:41:51,2
Missing network resource checks in test_urllib2 & test_smtplib,20483,2016-09-11.04:54:58,2
"During metaclass.__init__, super() of the constructed class does not work",23722,2016-09-11.04:49:08,2
Little Endian PowerPC64 Linux,20885,2016-09-11.04:12:53,2
Reduce Github pull request rate,27680,2016-09-11.04:07:24,2
typing module documentation incomplete,26141,2016-09-11.02:06:20,2
Update documentation about None vs type(None) in typing,28073,2016-09-11.01:50:17,2
Empty Strings are not parsed to None.,28072,2016-09-10.23:32:37,2
Add Py_errno to work around multiple CRT issue,15883,2016-09-10.21:30:07,2
Make it easier to backport statistics to 2.7,19763,2016-09-10.21:29:16,2
./configure --with-stdc89 to test ANSI C conformity,4558,2016-09-10.21:28:25,2
Do not call localtime (gmtime) in datetime module,28067,2016-09-10.20:51:22,2
Calling timestamp() on a datetime object modifies the timestamp of a different datetime object.,22627,2016-09-10.19:39:45,2
Windows: test_platform.test_architecture_via_symlink() regression,28059,2016-09-10.19:25:26,2
PyLong_FromLong() potentially returns irregular object when small_ints[] isn't used,25221,2016-09-10.19:21:26,2
String executed inside a function ignores global statements,28064,2016-09-10.19:10:57,2
zipfile: change RuntimeError to more appropriate exception type,24693,2016-09-10.18:36:56,2
Update lib2to3 grammar to include missing unpacking generalizations.,25969,2016-09-10.18:21:34,2
Adding a mutually exclusive group to an argument group results in segmentation fault under linux,28063,2016-09-10.15:16:02,2
inconsistent sys.path behavior when using PythonXX.zip,27874,2016-09-10.14:37:34,2
Python implementation of `functools.partial` is not a class,27137,2016-09-10.12:13:36,2
